DateTime,Symbol,O1_Open,C3_Close,Diff,Diff_%,Direction
2026-07-15 10:15:20,NSE-NIFTY-21Jul26-24250-CE,126.6,129.55,2.95,2.3302,CE
2026-07-15 10:17:57,NSE-NIFTY-21Jul26-24250-CE,129.15,135.1,5.95,4.607,CE
2026-07-15 10:19:20,NSE-NIFTY-21Jul26-24250-CE,132.0,135.85,3.85,2.9167,CE
2026-07-15 10:20:43,NSE-NIFTY-21Jul26-24250-CE,135.05,133.35,-1.7,-1.2588,PE
2026-07-15 10:21:28,NSE-NIFTY-21Jul26-24250-CE,135.15,131.9,-3.25,-2.4047,PE
2026-07-15 10:23:33,NSE-NIFTY-21Jul26-24150-PE,130.5,129.55,-0.95,-0.728,CE
2026-07-15 10:24:55,NSE-NIFTY-21Jul26-24150-PE,131.95,131.0,-0.95,-0.72,CE
2026-07-15 10:25:40,NSE-NIFTY-21Jul26-24150-PE,130.05,130.85,0.8,0.6151,PE
2026-07-15 10:26:23,NSE-NIFTY-21Jul26-24250-CE,133.7,133.7,0.0,0.0,PE
2026-07-15 10:27:06,NSE-NIFTY-21Jul26-24150-PE,131.1,131.55,0.45,0.3432,PE
2026-07-15 10:29:12,NSE-NIFTY-21Jul26-24150-PE,131.0,132.85,1.85,1.4122,PE
2026-07-15 10:33:38,NSE-NIFTY-21Jul26-24250-CE,130.15,128.0,-2.15,-1.6519,PE
2026-07-15 10:35:04,NSE-NIFTY-21Jul26-24250-CE,128.65,126.6,-2.05,-1.5935,PE
2026-07-15 10:35:48,NSE-NIFTY-21Jul26-24150-PE,133.65,134.95,1.3,0.9727,PE
2026-07-15 10:38:04,NSE-NIFTY-21Jul26-24200-CE,151.6,148.35,-3.25,-2.1438,PE
2026-07-15 10:38:50,NSE-NIFTY-21Jul26-24150-PE,135.0,137.4,2.4,1.7778,PE
2026-07-15 10:41:52,NSE-NIFTY-21Jul26-24150-CE,175.85,179.25,3.4,1.9335,CE
2026-07-15 10:42:52,NSE-NIFTY-21Jul26-24100-PE,116.1,112.25,-3.85,-3.3161,CE
2026-07-15 10:44:17,NSE-NIFTY-21Jul26-24250-CE,126.9,129.3,2.4,1.8913,CE
2026-07-15 10:45:53,NSE-NIFTY-21Jul26-24150-PE,132.2,132.2,0.0,0.0,CE
